model,type,samples,fairness_considuration_ratio,top_results_to_compare,auc,percision,similarity_between_fair_and_regular_predictions,fairness_score_of_fair_predictions,fairness_score_of_regular_predictions
0,popular,1,0.15,2,0.81,0.32,0.51,0.76,0.46
0,popular,1,0.15,3,0.81,0.33,0.54,0.75,0.46
0,popular,1,0.15,4,0.81,0.32,0.54,0.76,0.47
0,popular,1,0.15,5,0.81,0.32,0.52,0.77,0.48
0,popular,1,0.15,6,0.81,0.32,0.5,0.79,0.47
0,popular,1,0.15,7,0.81,0.32,0.49,0.79,0.47
0,popular,1,0.15,8,0.81,0.32,0.49,0.79,0.48
0,popular,1,0.15,9,0.81,0.33,0.5,0.8,0.48
0,popular,1,0.15,10,0.81,0.32,0.5,0.8,0.48
0,popular,1,0.2,1,0.81,0.3,0.43,0.79,0.44
0,popular,1,0.2,2,0.81,0.32,0.35,0.84,0.46
0,popular,1,0.2,3,0.81,0.33,0.32,0.86,0.46
0,popular,1,0.2,4,0.81,0.32,0.31,0.88,0.47
0,popular,1,0.2,5,0.81,0.32,0.33,0.87,0.48
0,popular,1,0.2,6,0.81,0.32,0.33,0.87,0.47
0,popular,1,0.2,7,0.81,0.32,0.33,0.87,0.47
0,popular,1,0.2,8,0.81,0.32,0.34,0.87,0.48
0,popular,1,0.2,9,0.81,0.33,0.34,0.88,0.48
0,popular,1,0.2,10,0.81,0.32,0.34,0.88,0.48
0,popular,1,0.25,1,0.81,0.3,0.08,0.97,0.44
0,popular,1,0.25,2,0.81,0.32,0.23,0.9,0.46
0,popular,1,0.25,3,0.81,0.33,0.2,0.92,0.46
0,popular,1,0.25,4,0.81,0.32,0.21,0.92,0.47
0,popular,1,0.25,5,0.81,0.32,0.21,0.93,0.48
0,popular,1,0.25,6,0.81,0.32,0.2,0.94,0.47
0,popular,1,0.25,7,0.81,0.32,0.2,0.94,0.47
0,popular,1,0.25,8,0.81,0.32,0.21,0.94,0.48
0,popular,1,0.25,9,0.81,0.33,0.22,0.94,0.48
0,popular,1,0.25,10,0.81,0.32,0.22,0.94,0.48
0,popular,2,0.05,1,0.78,0.25,0.87,0.68,0.62
0,popular,2,0.05,2,0.78,0.26,0.92,0.62,0.58
0,popular,2,0.05,3,0.78,0.28,0.91,0.62,0.57
0,popular,2,0.05,4,0.78,0.28,0.92,0.62,0.58
0,popular,2,0.05,5,0.78,0.28,0.91,0.63,0.58
0,popular,2,0.05,6,0.78,0.28,0.89,0.64,0.58
0,popular,2,0.05,7,0.78,0.27,0.87,0.66,0.57
0,popular,2,0.05,8,0.78,0.27,0.86,0.68,0.58
0,popular,2,0.05,9,0.78,0.27,0.84,0.68,0.58
0,popular,2,0.05,10,0.78,0.27,0.83,0.69,0.58
0,popular,2,0.1,1,0.78,0.25,0.77,0.73,0.62
0,popular,2,0.1,2,0.78,0.26,0.77,0.7,0.58
0,popular,2,0.1,3,0.78,0.28,0.77,0.69,0.57
0,popular,2,0.1,4,0.78,0.28,0.79,0.69,0.58
0,popular,2,0.1,5,0.78,0.28,0.79,0.7,0.58
0,popular,2,0.1,6,0.78,0.28,0.76,0.71,0.58
0,popular,2,0.1,7,0.78,0.27,0.75,0.72,0.57
0,popular,2,0.1,8,0.78,0.27,0.75,0.73,0.58
0,popular,2,0.1,9,0.78,0.27,0.73,0.74,0.58
0,popular,2,0.1,10,0.78,0.27,0.71,0.76,0.58
0,popular,2,0.15,1,0.78,0.25,0.56,0.84,0.62
0,popular,2,0.15,2,0.78,0.26,0.55,0.81,0.58
0,popular,2,0.15,3,0.78,0.28,0.53,0.81,0.57
0,popular,2,0.15,4,0.78,0.28,0.58,0.8,0.58
0,popular,2,0.15,5,0.78,0.28,0.6,0.79,0.58
0,popular,2,0.15,6,0.78,0.28,0.6,0.79,0.58
0,popular,2,0.15,7,0.78,0.27,0.59,0.8,0.57
0,popular,2,0.15,8,0.78,0.27,0.6,0.81,0.58
0,popular,2,0.15,9,0.78,0.27,0.59,0.81,0.58
0,popular,2,0.15,10,0.78,0.27,0.59,0.82,0.58
0,popular,2,0.2,1,0.78,0.25,0.28,0.98,0.62
0,popular,2,0.2,2,0.78,0.26,0.25,0.96,0.58
0,popular,2,0.2,3,0.78,0.28,0.25,0.95,0.57
0,popular,2,0.2,4,0.78,0.28,0.3,0.94,0.58
0,popular,2,0.2,5,0.78,0.28,0.33,0.93,0.58
0,popular,2,0.2,6,0.78,0.28,0.35,0.92,0.58
0,popular,2,0.2,7,0.78,0.27,0.37,0.91,0.57
0,popular,2,0.2,8,0.78,0.27,0.4,0.91,0.58
0,popular,2,0.2,9,0.78,0.27,0.41,0.9,0.58
0,popular,2,0.2,10,0.78,0.27,0.42,0.9,0.58
0,popular,2,0.25,1,0.78,0.25,0.24,1,0.62
0,popular,2,0.25,2,0.78,0.26,0.17,1,0.58
0,popular,2,0.25,3,0.78,0.28,0.15,1,0.57
0,popular,2,0.25,4,0.78,0.28,0.17,1,0.58
0,popular,2,0.25,5,0.78,0.28,0.18,1,0.58
